타임스탬프,몇학년이신가요!? (A),성별은요!? (A),학과(전공)가 어떻게 되세요? (A),취미가 어떻게 되세요!? (A),휴대폰을 주로 이용하는 시간대가 어떻게 되세요? (K),휴대폰을 하루에 몇시간정도 이용하나요? (K),"휴대폰으로 주로 무얼 하나요?(게임, SNS, 정보검색 등) (K)",자기 전 1시간 이내에 휴대폰을 이용하시나요? (K),여가시간에 전자기기를 제외하고 주로 무얼 하시나요? (K),학교 수업 외로 하루 평균 공부 시간은 얼마나 되시나요? (A),주로 집중적으로 공부하는 시간은 언제인가요? (A),취업 후 기대하는 연봉은 얼마인가요!? (A),학과(전공) 선택에 만족하시나요!? (A),전공 관련 취업 선호도는 어느정도인가요? (A),하루 평균 소셜 미디어 사용 시간은 얼마나 되나요? (A),집에서 학교까지 오는데 걸리는 시간은 어느정도인가요? (A),학업 스트레스는 어느정도인가요? (A),교우관계는 어떠신가요? (A),아르바이트를 하시나요!? (A),방과후 수업을 하시나요!? (A),
2023. 10. 12 오후 4:40:17,1학년,남자,소프트웨어개발과,게임,학교에서(9시~17시),1~3시간,정보검색,한다,공부,30분-1시간,방과후(저녁),2000만,O,6,0-30분,30-1시간,3,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:43:00,1학년,여자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,SNS,한다,TV 보기,30분-1시간,방과후(저녁),3천만원,O,8,30-1시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:43:02,1학년,남자,소프트웨어개발과,게임,학교에서(9시~17시),5~7시간,웹툰,한다,잠자기 활동,0-30분,방과후(저녁),1억 5천,O,10,2시간-3시간 이상,10-30분,2,4,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:43:03,1학년,여자,소프트웨어개발과,게임,밤에(20시~24시),5~7시간,게임,한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,밤,1000,O,7,2시간-3시간 이상,10-30분,3,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:43:25,1학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),3~5시간,게임,한다,공부,30분-1시간,방과후(저녁),1억,O,10,0-30분,30-1시간,3,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:45:04,1학년,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,,30분-1시간,밤,70000000,O,6,30-1시간,10-30분,2,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:45:24,1학년,남자,소프트웨어개발과,게임,저녁에(17시~20시),1~3시간,게임,안한다,TV 보기,0-30분,방과후(저녁),300억,O,6,0-30분,10-30분,1,1,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:46:08,1학년,남자,소프트웨어개발과,게임,밤에(20시~24시),3~5시간,웹툰,안한다,라노벨,30분-1시간,밤,250,X,3,1시간-2시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:46:12,1학년,여자,소프트웨어개발과,게임,저녁에(17시~20시),7~9시간,게임,한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,8000만,O,5,2시간-3시간 이상,10-30분,2,3,X,O(아래 질문에 답변해주세요!),
2023. 10. 12 오후 4:46:16,1학년,남자,소프트웨어개발과,음악,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,방과후(저녁),3000천만?,X,3,0-30분,10-30분,3,3,X,O(아래 질문에 답변해주세요!),
