타임스탬프,학년,성별,학과(전공),취미,평균 공부 시간,공부하는 시간,자격증 개수,출석,평균 수면 시간,희망 진로,수업 집중도,수업 집중도(전공),희망 연봉,학과 만족 O/X,취업 선호도,소셜 미디어 사용시간,통학 시간,학업 스트레스,교우관계,알바 유무,방과후 유무,방과후 만족도
2023. 10. 12 오후 3:46:36,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2,절대 안빠지죠,6시간 이상 자요,취업,8,9,2700,O,8,1시간-2시간,30-1시간,2,4,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 3:46:40,2학년,여자,소프트웨어개발과,영상시청,30분-1시간,밤,3,절대 안빠지죠,6시간 이상 자요,취업,10,10,1억,O,10,2시간-3시간 이상,30-1시간,3,3,O,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:47:13,2학년,여자,소프트웨어개발과,영상시청,0-30분,밤,3,절대 안빠지죠,6시간 이상 자요,취업,8,8,억단위,X,9,30-1시간,10-30분,3,2,O,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 3:47:32,2학년,남자,소프트웨어개발과,게임,0-30분,기타,2,절대 안빠지죠,6시간 이상 자요,대학교 진학,5,5,3000만원,X,2,0-30분,10-30분,3,1,X,O(아래 질문에 답변해주세요!),6
2023. 10. 12 오후 3:47:55,2학년,남자,소프트웨어개발과,게임,0-30분,기타,9,절대 안빠지죠,2~4시간 자요,취업,7,9,4000,O,10,30-1시간,30-1시간,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:47:58,2학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),3,한달에 한두번 빠져요,6시간 이상 자요,취업,8,8,300,O,5,30-1시간,30-1시간,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 3:48:12,2학년,남자,소프트웨어개발과,운동,30분-1시간,밤,2,절대 안빠지죠,2~4시간 자요,취업,7,9,주는대로 받는다,O,10,30-1시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 3:48:28,1학년,남자,소프트웨어개발과,영상시청,1시간-2시간,밤,2,한달에 한두번 이상 빠져요,6시간 이상 자요,아직 모르겠다,10,1,3000천원,X,0,30-1시간,10-30분,3,3,X,X,
2023. 10. 12 오후 3:48:30,2학년,남자,소프트웨어개발과,게임,0-30분,밤,4,절대 안빠지죠,4~6시간 자요,취업,10,10,5000,O,10,2시간-3시간 이상,10-30분,2,1,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 3:48:33,2학년,남자,소프트웨어개발과,게임,0-30분,밤,3,절대 안빠지죠,4~6시간 자요,취업,6,8,2700만,O,10,0-30분,1시간-2시간,3,1,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 3:48:38,1학년,여자,소프트웨어개발과,기타,30분-1시간,밤,2,절대 안빠지죠,4~6시간 자요,취업,7,9,2천 후반대,O,8,2시간-3시간 이상,1시간-2시간,2,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 3:48:47,1학년,남자,소프트웨어개발과,게임,0-30분,밤,3,1년에 한두번 빠져요,2~4시간 자요,취업,5,10,3000만,O,6,2시간-3시간 이상,30-1시간,3,2,X,O(아래 질문에 답변해주세요!),9
